Species	Film	Characters	Words
Orc	The Fellowship Of The Ring	3	27
Orc	The Return Of The King	16	466
Orc	The Two Towers	10	230
Dwarf	The Fellowship Of The Ring	11	431
Dwarf	The Return Of The King	16	313
Dwarf	The Two Towers	19	521
Elf	The Fellowship Of The Ring	31	2200
Elf	The Return Of The King	19	693
Elf	The Two Towers	19	844
Wizard	The Fellowship Of The Ring	29	2881
Wizard	The Return Of The King	25	1807
Wizard	The Two Towers	12	1273
Man	The Fellowship Of The Ring	40	1995
Man	The Return Of The King	98	2727
Man	The Two Towers	102	3990
Hobbit	The Fellowship Of The Ring	103	3658
Hobbit	The Return Of The King	73	2675
Hobbit	The Two Towers	56	2463
